ID1_G,ID2_G,ID_T_G,ID_R_G,PREDICTION
14387,641,13296,4,2
36278,12527,13296,4,1
28073,17831,13296,4,1
10011,12498,13299,3,1
20463,10813,13299,4,2
12759,12452,13427,4,1
26471,34560,13430,4,1
33674,30320,13430,4,1
21826,9114,13430,4,1
13966,28074,13437,4,1
12031,8555,13437,4,1
8812,25757,13437,4,1
5058,6642,13296,4,1
34537,15021,13296,4,2
53761,15709,13296,4,1
11948,18648,13298,4,2
7555,2179,13298,4,1
30856,23298,13298,4,2
28898,12614,13298,4,2
11881,24840,13299,4,1
12491,13820,13299,4,2
13764,11981,13299,4,2
20657,18250,13428,4,1
30211,36042,13428,4,1
13225,30482,13428,4,1
29889,29795,13430,4,1
26764,35087,13430,4,1
9634,7657,13430,4,1
1886,17358,13430,4,2
23590,13884,13430,4,1
33860,34498,13430,4,1
22771,18338,13430,4,2
29038,25539,13437,4,1
29151,25621,13437,4,1
21329,19474,13298,4,2
11683,11224,13298,4,1
10400,5961,13298,4,2
17928,5838,13298,4,2
53736,53348,13299,4,1
25543,17359,13299,4,1
23544,20542,13299,4,2
33200,37105,13427,4,1
23260,30213,13427,4,1
21330,22892,13427,4,1
32669,26829,13427,4,1
18627,33648,13427,4,2
40026,26958,13428,4,1
12525,39441,13430,4,1
31111,13758,13430,4,1
29798,10999,13430,4,1
12055,39445,13433,4,1
25160,47555,13433,4,1
9041,25408,13433,4,1
22435,19755,13433,4,1
13637,14530,13433,4,2
26702,27745,13435,4,1
23072,25000,13435,4,2
18076,18071,13435,4,1
26832,45499,13435,4,1
27084,42971,13435,4,1
14377,7807,13436,4,1
7612,28685,13436,4,2
12222,4344,13436,4,2
4461,22439,13298,4,2
23142,22429,13298,4,2
36821,20655,13298,4,2
14982,24084,13299,4,1
54799,34649,13299,4,1
54800,23704,13299,4,1
18524,20104,13299,4,2
54825,13804,13423,4,1
24009,33255,13423,4,1
13987,33161,13423,4,1
51078,24932,13423,4,1
37268,30692,13423,4,1
23816,21646,13423,4,1
1742,25104,13427,4,1
26602,7902,13427,4,1
22069,23375,13427,4,1
26002,28828,13430,4,1
37309,23365,13430,4,1
14477,32835,13430,4,1
53909,31096,13434,4,1
8672,28265,13434,4,1
12214,29273,13434,4,1
26906,23337,13434,4,1
3651,31218,13434,4,1
34337,34922,13434,4,1
21822,29117,13434,4,1
17123,23595,13297,4,1
7772,18016,13297,4,1
23129,14465,13298,4,1
47827,25006,13298,4,1
54608,54811,13298,4,1
520,11701,13298,4,2
619,935,13299,4,2
38160,36151,13299,4,1
35225,40809,13423,4,1
30849,14856,13423,4,2
30375,30743,13427,4,1
3754,13209,13429,4,2
24001,12490,13429,4,1
48442,23090,13429,4,1
19946,54815,13433,4,1
24706,19948,13433,4,1
29816,14534,13433,4,1
43594,30099,13433,4,1
30108,34548,13433,4,1
29888,30562,13433,4,1
28869,7286,13433,4,1
5993,24294,13434,4,1
28988,23082,13435,4,1
18579,34103,13435,4,2
11489,1113,13297,4,2
17005,3639,13297,4,2
6820,20651,13297,4,2
6100,25171,13297,4,2
54199,54804,13298,4,1
10011,12594,13299,4,2
31562,7826,13423,4,1
29176,18484,13424,4,1
26965,12048,13424,4,1
11388,27496,13424,4,1
30742,26761,13427,4,1
18341,26421,13429,4,2
25344,13398,13429,4,1
28108,7146,13431,4,1
24763,29371,13431,4,1
20849,14885,13431,4,1
23997,28586,13431,4,1
22851,33738,13431,4,1
30626,25355,13431,4,1
30629,6589,13431,4,1
21550,22649,13431,4,1
54814,30605,13431,4,1
28684,25402,13431,4,1
14739,22058,13431,4,1
30397,38132,13431,4,1
42159,18483,13432,4,1
25934,36744,13432,4,1
17356,32857,13432,4,1
18474,9898,13432,4,1
22704,13008,13432,4,1
18665,37017,13432,4,1
37077,25863,13432,4,1
2247,26238,13432,4,1
12936,23336,13432,4,1
29814,36045,13432,4,1
25927,21257,13432,4,1
36743,13950,13432,4,1
32856,30972,13432,4,1
18260,24248,13432,4,1
36883,41961,13432,4,1
28885,15075,13432,4,2
36376,9516,13436,4,1
29773,26869,13436,4,1
29579,43211,13436,4,1
961,6458,12831,4,1
24225,9305,12831,4,2
11521,10971,13297,4,1
8396,20654,13297,4,2
17675,6850,13297,4,2
891,16996,13297,4,1
18485,6080,12831,4,2
9842,650,12831,4,1
7889,29939,13297,4,2
7803,10590,13297,4,1
1266,3996,12831,4,1
12190,672,12831,4,2
27038,30740,13297,4,1
33502,16994,13297,4,2
18281,29932,12831,4,1
54786,54827,12831,4,1
10593,26228,13424,4,1
14898,10292,13424,4,1
26514,23335,13426,4,1
29040,35182,13426,4,1
29367,48844,13426,4,1
25848,11378,13426,4,1
23748,27357,13429,4,1
54368,36470,13429,4,1
22323,24645,13429,4,1
22906,49052,13429,4,1
44990,21524,13429,4,1
37976,26949,13429,4,1
30868,8946,13429,4,2
11310,14304,13429,4,1
14130,20819,13429,4,2
28107,9907,13429,4,1
26236,40059,13429,4,1
31578,17365,13436,4,1
4019,27114,13437,4,1
24843,29149,13437,4,1
9493,25703,13437,4,1
29257,13069,13437,4,2
8308,12588,13437,4,1
54794,54795,13296,4,1
14606,12767,13296,5,1
11742,4025,13296,5,2
12921,9649,13296,5,1
7462,19584,13296,5,1
35979,27783,13437,4,1
28742,29943,13437,4,1
54793,30750,13296,4,1
30589,24310,13296,9,1
15709,54409,13296,9,1
7555,18648,13298,5,2
18495,12871,13298,5,2
25533,1747,13299,4,2
2034,19946,13433,5,2
12055,24706,13433,5,1
25160,18457,13433,5,1
26711,9041,13433,5,1
30099,29816,13433,5,1
13637,22435,13433,5,1
34548,29888,13433,5,1
7286,53759,13433,5,1
9543,2139,13436,4,1
39309,22430,13436,4,1
18477,31568,13436,4,2
26103,18136,13437,4,2
18089,14892,13437,4,2
19790,3747,13437,4,1
26730,54792,13296,9,1
36399,54803,13298,4,1
54810,25006,13298,9,1
31392,12534,13299,4,2
12498,22189,13299,4,2
6431,21506,13299,4,2
7818,7757,13299,4,2
12454,1742,13427,5,1
12759,23753,13427,5,2
37105,23260,13427,5,1
21330,22069,13427,5,2
32669,33648,13427,5,1
25409,31458,13428,4,1
26992,14410,13428,4,1
20983,17250,13428,4,1
12367,18440,13428,4,1
6928,45049,13428,4,1
35143,51700,13428,4,1
29380,14427,13428,4,1
35667,28887,13428,4,1
36470,23748,13429,5,1
26002,12525,13430,5,2
14477,37309,13430,5,1
29889,34560,13430,5,1
9634,35087,13430,5,1
33674,17358,13430,5,1
23590,33860,13430,5,1
31111,10999,13430,5,1
18338,21826,13430,5,1
54824,10507,13435,4,1
29667,11884,13435,4,2
17737,8590,13435,4,1
12622,36822,13435,4,1
29715,26826,13435,4,2
29894,29716,13435,4,1
14861,30795,13437,4,1
5961,11224,13298,5,1
54608,39340,13298,9,1
39067,38797,13299,4,1
18122,29372,13299,4,2
25543,11981,13299,5,1
24849,30925,13425,4,1
32585,18155,13425,4,1
29462,24249,13425,4,1
23750,24745,13425,4,1
29293,34375,13425,4,1
24534,38911,13425,4,1
14536,44556,13425,4,1
32383,30375,13427,5,1
21883,30104,13428,4,1
29458,28925,13428,4,1
29661,43280,13428,4,1
30550,8858,13428,4,1
30798,10826,13434,4,1
28856,26892,13434,4,1
18378,26424,13434,4,1
24247,30355,13434,4,1
36059,43604,13434,4,1
24721,22448,13434,4,1
37210,10051,13434,4,1
52238,40093,13299,4,1
54801,54802,13299,4,1
12594,13820,13299,5,1
11181,35225,13423,5,1
28924,30849,13423,5,1
10203,13804,13423,5,1
29270,29159,13425,4,1
18483,25934,13432,5,1
17356,18474,13432,5,1
18665,22704,13432,5,1
25863,26238,13432,5,1
29814,12936,13432,5,1
25927,13950,13432,5,1
30972,24248,13432,5,1
28885,41961,13432,5,2
46748,29054,13436,4,1
52003,54781,12831,4,1
54785,23235,12831,4,1
28087,7459,12831,5,2
54818,54817,13297,4,1
15975,51600,13297,4,1
20937,54784,12831,4,1
6627,6831,12831,5,1
54821,25150,13297,4,1
36805,15975,13297,9,1
7806,5837,12831,5,2
53963,50963,13297,4,1
34298,23147,13424,4,1
25365,54826,13424,4,1
12226,24291,13424,4,1
18748,36793,13424,4,1
12000,7245,13424,4,2
28267,24955,13424,4,1
29255,25919,13424,4,1
12662,12938,13424,4,1
17830,30944,13424,4,1
20846,29171,13424,4,1
23259,29800,13424,4,1
22437,25481,13426,4,1
26627,22068,13426,4,2
22798,20750,13426,4,2
18398,31726,13426,4,1
49406,33058,13426,4,1
20705,24756,13426,4,1
18480,33452,13426,4,1
31290,11575,13426,4,2
25536,30804,13426,4,1
13160,38897,13426,4,1
34652,35104,13426,4,1
34789,24877,13426,4,1
20807,26211,13436,4,1
21499,18612,13436,4,2
29672,24009,13423,5,1
13987,20133,13423,5,1
7826,29906,13423,5,1
24932,35130,13423,5,1
23816,30692,13423,5,1
23197,26602,13427,5,1
33890,26761,13427,5,1
24763,7146,13431,5,1
49072,14885,13431,5,1
28586,33738,13431,5,1
30626,25546,13431,5,1
6589,21550,13431,5,1
30605,28684,13431,5,1
32977,14739,13431,5,1
30397,21431,13431,5,1
26839,20100,13434,4,2
26077,37085,13435,4,1
26503,42548,13435,4,1
26502,40383,13435,4,1
21070,30837,13436,4,1
14527,14605,13436,4,1
3685,12977,13436,4,1
54788,54787,12831,4,1
11521,11489,13297,5,2
17123,14814,13297,5,2
13722,4236,13297,5,2
20654,33502,13297,5,1
18485,29932,12831,5,2
12852,12587,13296,5,2
50920,54805,13298,4,1
55012,54808,13298,4,1
51366,39803,13299,4,1
42984,23226,12831,4,1
28073,36278,13296,5,1
10901,641,13296,5,2
18341,12490,13429,5,2
4019,28074,13437,5,2
9493,24843,13437,5,1
18136,25539,13437,5,1
29257,29151,13437,5,1
12031,29943,13437,5,1
8812,27783,13437,5,1
19790,14861,13437,5,2
14892,8308,13437,5,2
23298,23348,13298,5,1
21506,12498,13299,5,1
31458,26992,13428,5,1
30211,18250,13428,5,1
20983,13225,13428,5,1
18440,26958,13428,5,1
29380,35667,13428,5,1
43280,30550,13428,5,1
49052,22323,13429,5,1
3754,21524,13429,5,1
26949,8946,13429,5,2
20819,11310,13429,5,2
13398,28107,13429,5,1
23090,26236,13429,5,2
9041,25160,13433,9,2
13637,30099,13433,9,1
14465,4461,13298,5,2
23142,21329,13298,5,1
54803,54199,13298,9,1
10813,11881,13299,5,2
51366,38797,13299,9,1
38160,23704,13299,9,1
45049,51700,13428,5,1
28925,30104,13428,5,1
20983,18440,13428,9,1
14477,12525,13430,9,2
29889,35087,13430,9,1
33860,17358,13430,9,1
19946,24706,13433,9,1
7286,34548,13433,9,1
23082,10507,13435,5,2
23072,27745,13435,5,1
11884,17737,13435,5,1
18076,26826,13435,5,1
37085,26832,13435,5,1
26503,29716,13435,5,1
42971,40383,13435,5,1
20655,12614,13298,5,2
54808,54805,13298,9,1
619,24084,13299,5,2
25533,7818,13299,5,2
23753,1742,13427,9,2
30375,23260,13427,9,1
3754,8946,13429,9,2
10999,18338,13430,9,2
17365,9516,13436,5,2
14377,2139,13436,5,1
29773,21070,13436,5,1
5838,520,13298,5,1
54608,25006,13298,10,1
18524,20542,13299,5,1
54799,52238,13299,9,1
54802,53736,13299,9,1
33648,22069,13427,9,1
33738,25546,13431,9,1
21431,14739,13431,9,1
18474,18483,13432,9,2
22704,26238,13432,9,1
13950,12936,13432,9,1
30972,28885,13432,9,1
10826,5993,13434,5,1
26424,26892,13434,5,1
20100,30355,13434,5,1
31096,28265,13434,5,1
29273,23337,13434,5,1
36059,24721,13434,5,1
34337,3651,13434,5,2
21822,10051,13434,5,2
34103,12622,13435,5,2
6850,10590,13297,5,1
54823,55013,13297,4,1
31392,29372,13299,5,2
28924,11181,13423,9,1
13804,29672,13423,9,1
7826,13987,13423,9,1
24932,23816,13423,9,2
18155,30925,13425,5,1
54207,29159,13425,5,1
21392,24249,13425,5,2
24073,13283,13425,5,1
23750,34375,13425,5,1
24534,14738,13425,5,1
18650,29271,13425,5,2
29892,14536,13425,5,1
26627,22437,13426,5,2
22798,26514,13426,5,1
18480,48844,13426,5,1
11575,11378,13426,5,1
26761,23197,13427,9,1
23748,22323,13429,9,1
11310,18341,13429,9,1
28107,23090,13429,9,1
14527,20807,13436,5,2
29054,21499,13436,5,1
3685,12222,13436,5,1
3996,6458,12831,5,2
24225,7452,12831,5,2
672,650,12831,5,1
17005,6820,13297,5,1
50963,54817,13297,9,1
54823,54821,13297,9,1
16996,6100,13297,5,1
54820,30740,13297,9,1
22434,26923,12831,5,1
52003,54783,12831,9,1
7772,29939,13297,5,2
26228,34298,13424,5,1
25365,10292,13424,5,1
18484,12226,13424,5,2
26965,18748,13424,5,1
28267,7245,13424,5,2
29255,12662,13424,5,1
29171,30944,13424,5,1
11388,29800,13424,5,1
33058,31726,13426,5,1
35182,20705,13426,5,1
13160,30804,13426,5,2
35104,24877,13426,5,1
7146,14885,13431,9,1
6589,28684,13431,9,2
29579,28685,13436,5,1
39309,31568,13436,5,2
34537,6642,13296,5,2
54793,54794,13296,9,1
7462,11742,13296,9,1
641,12587,13296,9,2
28073,34537,13296,9,1
9649,12767,13296,9,1
54793,26730,13296,10,1
24310,54409,13296,10,1
43280,28925,13428,9,1
23260,1742,13427,10,2
23197,33648,13427,10,2
31458,30211,13428,9,2
51700,35667,13428,9,1
8946,22323,13429,10,1
12525,29889,13430,10,1
33860,18338,13430,10,2
25160,19946,13433,10,2
13637,34548,13433,10,1
26892,10826,13434,9,2
28265,20100,13434,9,1
24721,29273,13434,9,1
34337,10051,13434,9,2
27745,10507,13435,9,2
11884,34103,13435,9,1
26826,26832,13435,9,2
40383,29716,13435,9,1
28074,9493,13437,9,1
29257,18136,13437,9,2
29943,14892,13437,9,2
14861,27783,13437,9,1
14465,21329,13298,9,2
11224,23348,13298,9,1
54199,54808,13298,10,1
24225,6458,12831,9,2
17123,11489,13297,9,2
10590,16996,13297,9,2
26228,25365,13424,9,2
12662,7245,13424,9,1
29159,18155,13425,9,1
13283,24249,13425,9,2
24534,23750,13425,9,1
14536,29271,13425,9,1
22437,22798,13426,9,1
20705,33058,13426,9,1
11575,18480,13426,9,1
24877,30804,13426,9,1
23090,11310,13429,10,2
18483,22704,13432,10,1
12936,28885,13432,10,1
9516,14377,13436,9,1
14527,21499,13436,9,2
22434,672,12831,9,1
17005,29939,13297,9,2
28087,6627,12831,9,2
54786,54787,12831,9,1
54817,15975,13297,10,1
7555,12871,13298,9,2
54823,30740,13297,10,1
5837,29932,12831,9,1
33502,13722,13297,9,2
12226,26965,13424,9,1
29171,11388,13424,9,1
7146,33738,13431,10,1
6589,14739,13431,10,2
28685,21070,13436,9,2
39309,3685,13436,9,2
9493,29257,13437,10,1
23226,20937,12831,9,1
24310,26730,13296,12,1
31795,1125,13300,1,1
45197,20135,13300,1,1
11127,23235,12831,9,1
641,11742,13296,10,1
28073,9649,13296,10,1
21506,11881,13299,9,2
9907,3754,13304,1,1
25000,38936,13304,1,1
35495,13954,13305,1,1
20655,5838,13298,9,2
21329,12871,13298,10,2
24084,29372,13299,9,2
2119,55018,13303,1,1
26205,18122,13303,1,1
15067,31689,13303,1,1
26845,55019,13303,2,1
26887,12316,13303,2,1
18100,22591,13304,1,1
8564,27745,13304,1,1
11948,37882,13304,1,1
29667,16998,13304,1,2
1132,8660,13304,1,1
26159,32419,13305,1,1
10978,36225,13305,1,1
11181,29672,13423,10,1
24932,13987,13423,10,2
20983,31458,13428,10,1
43280,35667,13428,10,1
12525,18338,13430,12,1
28885,18483,13432,12,2
19946,13637,13433,12,1
14861,29943,13437,10,1
11981,12594,13299,9,2
7818,20542,13299,9,1
17359,55018,13303,2,1
22560,24245,13303,2,2
10011,14884,13303,2,1
26148,13898,13304,1,1
14694,29665,13304,1,1
13031,651,13304,1,2
29055,23301,13305,1,2
30801,21398,13305,2,2
34724,34875,12832,4,1
9833,9831,12832,4,1
6691,8806,12832,4,2
5838,23348,13298,10,1
21506,24084,13299,10,1
23704,53736,13299,10,1
18122,12498,13303,2,2
8440,15067,13303,2,1
26473,14513,13304,1,1
22280,27779,13304,1,1
11202,35036,13304,1,2
27358,45499,13304,1,1
22056,11528,13305,2,1
3651,19576,13305,2,1
24932,11181,13423,12,2
23260,33648,13427,12,2
8946,11310,13429,12,2
20100,10826,13434,10,2
24721,10051,13434,10,2
10507,11884,13435,10,1
29716,26826,13435,10,2
22433,20847,12832,4,2
11773,29130,12832,4,1
50042,7484,12832,4,1
11953,6101,12832,4,2
30740,54817,13297,12,1
54608,54808,13298,12,1
54799,38797,13299,10,1
7818,12594,13299,10,2
36821,37085,13304,1,1
24249,18155,13425,10,2
14536,23750,13425,10,1
23235,54787,12831,10,1
17474,20648,12832,4,1
35519,55014,12832,4,1
25840,17901,12832,4,1
12317,8306,12832,4,1
27851,32733,13301,1,1
13429,8721,12832,4,2
18365,23836,13302,1,1
20705,22437,13426,10,2
24877,11575,13426,10,1
6589,7146,13431,12,2
22434,24225,12831,10,1
6002,3985,12832,4,2
7393,735,12832,4,1
10231,22432,12832,4,1
19910,11178,12832,4,2
13722,11489,13297,10,2
11332,38133,13301,1,1
55022,17094,13301,1,1
14510,24533,13301,1,1
39043,46473,13302,1,1
50848,23575,13302,1,1
28136,12484,12832,4,1
25165,4010,12832,4,2
1576,13447,12832,4,1
678,9471,12832,4,1
11373,14177,12832,4,1
1042,10014,12832,4,1
16996,29939,13297,10,2
15019,33780,13301,1,1
30984,11352,13301,1,1
9671,8004,13301,1,1
9550,29389,13302,1,1
25372,9225,12833,1,1
55021,8354,12833,1,1
7803,3818,12833,1,1
30352,19883,13301,1,1
28087,5837,12831,10,2
54783,23226,12831,10,1
9094,5917,12832,4,2
1718,23998,12833,1,1
14889,13968,12833,1,2
20694,25227,12833,1,1
14387,55016,13300,2,1
25365,12226,13424,10,2
11388,12662,13424,10,2
9516,28685,13436,10,1
3685,21499,13436,10,1
26923,496,12833,1,1
18496,875,12833,1,2
641,9649,13296,12,1
33230,23317,13300,2,1
10934,728,13300,2,1
25294,26377,13300,2,1
26009,41046,13300,2,1
5884,31795,13300,2,1
12229,37363,13303,2,1
21766,46749,13302,1,1
50858,14860,13305,2,1
55017,41045,13300,1,1
5136,791,12832,4,2
45197,29922,13300,2,1
29943,9493,13437,12,2
28932,32419,13305,2,1
43280,20983,13428,12,1
54799,53736,13299,12,1
12229,26845,13303,3,1
24245,15067,13303,3,1
26887,14884,13303,3,1
18100,14588,13304,2,1
9907,29667,13304,2,1
13954,25861,13305,2,2
23301,28346,13305,2,2
36225,9475,13305,2,1
10826,10051,13434,12,1
29716,10507,13435,12,2
12871,5838,13298,12,2
17359,18122,13303,3,1
11948,8564,13304,2,1
26148,26473,13304,2,1
25000,13031,13304,2,1
30801,14860,13305,3,2
9516,21499,13436,12,1
7818,24084,13299,12,1
22280,29665,13304,2,2
8660,27358,13304,2,2
22056,3651,13305,3,1
14536,18155,13425,12,1
4454,3054,12832,4,2
673,3492,12832,4,1
37085,35036,13304,2,1
5837,22434,12831,12,1
11923,6081,12832,4,1
5054,4067,12832,4,2
1075,7295,12832,4,1
11332,17094,13301,3,1
15019,27851,13301,3,2
46473,3694,13302,3,1
40434,23575,13302,3,1
9550,21766,13302,3,1
13799,1837,12832,4,2
685,12083,12832,4,1
54787,23226,12831,12,1
762,2123,12832,4,2
677,11940,12832,4,1
11226,9488,12832,4,1
14510,9671,13301,3,1
13267,18365,13302,3,1
4003,7127,12832,4,2
26402,50925,12832,4,1
14681,5736,12832,4,1
918,10828,12832,4,2
4146,12043,12832,4,2
11489,29939,13297,12,2
30507,21097,12832,4,1
16926,25190,12832,4,1
3577,14716,12832,4,1
12244,23711,12832,4,1
1718,26923,12833,3,2
13968,875,12833,3,2
5992,6465,12832,4,1
7025,22943,12832,4,1
10481,19819,12832,4,1
25372,8354,12833,3,1
20694,7803,12833,3,2
728,25294,13300,3,1
11352,19883,13301,3,1
14387,23317,13300,3,1
29922,5884,13300,3,1
5083,22269,13300,4,1
8308,34537,13300,4,1
20993,23672,12832,4,1
28726,25613,12832,4,1
23209,41045,13300,2,1
26009,23209,13300,3,1
28075,6399,13300,4,1
55027,43331,13300,4,1
31796,14606,13300,4,1
55031,55030,13300,4,1
55032,55033,13300,4,1
12430,22428,13300,4,1
25757,19790,13453,4,1
25539,30680,13453,4,1
34915,12588,13453,4,1
26103,24843,13453,4,1
11948,14588,13304,3,2
29667,26473,13304,3,2
8660,25000,13304,3,2
25861,23301,13305,3,1
28932,9475,13305,3,1
13225,14410,13446,4,1
39322,30550,13446,4,1
18256,8858,13446,4,1
29380,25408,13446,4,1
12367,20657,13446,4,1
28925,29661,13446,4,1
26313,13032,13304,4,2
20900,12622,13441,4,2
27357,28924,13441,4,1
35036,29665,13304,3,2
23298,14465,13304,4,1
14543,24870,13438,4,1
1953,31562,13438,4,1
3578,33161,13438,4,1
21491,19882,13441,4,2
10505,17264,13442,4,1
29819,29376,13442,4,1
35086,35183,13442,4,1
29890,24297,13442,4,1
24073,13964,13443,4,1
30397,29371,13448,4,1
30626,38132,13448,4,1
24717,24763,13448,4,1
28368,34605,13448,4,1
25402,21431,13448,4,1
28600,30629,13448,4,1
7145,22649,13448,4,1
20648,20847,12832,5,2
1837,2123,12832,5,1
7484,34875,12832,5,1
11521,6850,13302,4,2
23259,30087,13302,4,1
20104,10400,13303,4,1
18495,19474,13304,4,2
23129,28988,13304,4,1
6254,23142,13305,4,1
55065,51488,13305,4,1
1687,9840,13305,4,2
12037,13592,13441,4,2
47612,26562,13302,4,1
54817,50963,13302,4,1
3694,23595,13302,4,1
20651,18365,13302,4,1
16433,619,13303,4,2
55058,39340,13304,4,1
3992,854,13305,4,2
30232,53348,13305,4,1
18380,3316,13305,4,2
4149,4008,13305,4,1
55056,55057,13305,4,1
11923,6465,12832,5,1
685,3985,12832,5,2
10971,12896,13301,4,2
55054,55053,13305,4,1
8721,678,12832,5,2
17316,30849,13438,4,2
22430,18669,13452,4,1
24176,4344,13452,4,1
37453,17365,13452,4,1
14377,36519,13452,4,1
29054,45741,13452,4,1
26140,28290,13452,4,1
21097,26402,12832,5,1
55014,29130,12832,5,1
5917,3054,12832,5,1
6101,10828,12832,5,1
14510,20099,13301,4,2
11352,26381,13301,4,1
54818,15975,13302,4,1
51154,55071,13302,4,1
20463,21623,13303,4,2
23672,25613,12832,5,1
18016,17123,13301,4,2
16926,17901,12832,5,1
12317,7025,12832,5,1
12244,19819,12832,5,1
11020,10590,13301,4,1
35863,55072,13301,4,1
891,9839,13302,4,2
12484,14681,12832,5,1
9831,8806,12832,5,2
29171,9305,13301,4,1
19883,8515,13301,4,2
29800,54826,13440,4,1
18484,12938,13440,4,1
24955,34298,13440,4,1
10593,27496,13440,4,1
28267,26965,13440,4,2
17830,22444,13440,4,1
43554,11005,13443,4,1
21524,29732,13443,4,2
29270,37741,13443,4,1
17831,5058,13300,4,2
28762,5884,13300,4,1
641,19584,13300,4,1
12587,763,13300,4,1
28074,27783,13453,4,1
35539,30795,13453,4,1
12767,3747,13453,4,1
28423,13300,13453,4,1
29833,29257,13453,4,1
13069,25621,13453,4,1
13073,8812,13453,4,2
12527,23462,13300,4,2
55028,54796,13300,4,1
9649,7462,13300,4,2
14387,28073,13300,4,2
30801,9516,13305,4,2
12852,13048,13305,4,2
20809,21392,13443,4,2
19879,4019,13453,4,1
13798,34538,13300,4,2
26009,36278,13300,4,1
728,39310,13300,4,1
17964,31392,13303,4,2
40549,55059,13304,4,1
55062,54805,13304,4,1
9243,22439,13304,4,2
13348,14860,13305,4,1
22807,22056,13305,4,1
25861,1264,13305,4,2
29720,38391,13442,4,1
24003,21312,13442,4,1
17903,24397,13442,4,1
37454,45773,13442,4,1
30102,34560,13442,4,1
31686,13944,13442,4,1
22979,31663,13442,4,1
31458,33674,13446,4,1
42689,45049,13446,4,1
26958,20983,13446,4,1
35667,32391,13446,4,1
54975,18250,13446,4,1
30211,33671,13446,4,1
51099,24646,13447,4,1
18477,22906,13447,4,2
14960,22323,13447,4,2
52528,9403,13447,4,1
28742,25703,13453,4,1
14892,29463,13453,4,1
26730,54793,13300,4,1
30589,55029,13300,4,1
12921,22235,13300,4,1
7451,7818,13303,4,2
15067,26887,13303,4,2
12871,24840,13303,4,1
11981,20542,13303,4,1
7757,2179,13304,4,1
11683,13800,13304,4,1
11948,13617,13304,4,2
21329,27531,13304,4,1
9941,5838,13304,4,2
13674,11310,13305,4,1
25927,15075,13439,4,1
37486,18665,13439,4,1
2247,10288,13439,4,2
26889,27547,13441,4,2
29262,20971,13441,4,1
26832,24954,13441,4,1
17961,55082,13442,4,1
22703,31139,13442,4,1
38400,24082,13442,4,1
30931,30126,13442,4,1
32603,28586,13443,4,1
14536,37527,13443,4,1
21559,20979,13443,4,1
36620,29293,13443,4,1
37569,29462,13443,4,1
24249,18145,13443,4,1
23751,9517,13443,4,2
26414,17749,13446,4,1
37361,6928,13446,4,1
43280,36042,13446,4,1
17250,30104,13446,4,1
43235,13398,13447,4,1
18650,23324,13447,4,1
31237,24849,13448,4,1
28946,21402,13448,4,1
7146,33738,13448,4,1
49064,14885,13448,4,1
28108,33697,13448,4,1
55081,23082,13451,4,1
42971,32971,13451,4,1
27185,29149,13453,4,1
8555,14861,13453,4,2
17359,25533,13303,4,1
8517,7895,13303,4,2
1747,12491,13303,4,1
54441,54608,13304,4,1
520,26473,13304,4,1
24084,6080,13304,4,2
18071,8660,13304,4,1
9475,23550,13305,4,2
28296,10813,13305,4,1
13820,26890,13438,4,1
14856,12195,13438,4,1
30692,29906,13438,4,1
33256,11181,13438,4,1
7826,46422,13438,4,1
29673,25451,13438,4,2
24932,13804,13438,4,1
